node,in_degree,out_degree,degree,betweenness,closeness,eigenvector,pagerank
0,1,1,2,0.007725275902710811,0.011252297318679178,7.783033454860664e-13,0.004030931522840669
1,3,3,6,0.016168434586949533,0.024853801169590645,0.3835011425974053,0.004227935867529408
2,1,1,2,0.0003214400514304082,0.006565126050420168,0.0,0.0027157898637133818
3,0,3,3,0.0,0.0,0.0013469260274495602,0.0007103496626675249
4,1,1,2,0.00207864566591664,0.004357298474945533,0.00021741485492110212,0.0018272352464333201
5,1,1,2,0.0007928854601950069,0.0032679738562091504,7.805218910219061e-20,0.0013140980463217003
6,0,1,1,0.0,0.0,0.0,0.0007103496626675249
7,1,0,1,0.0,0.0032679738562091504,0.0,0.0013140980463217003
8,1,1,2,0.007500267866709525,0.005718954248366013,1.507458530517592e-06,0.0034445996989539277
9,2,1,3,0.0022286510232508304,0.013573888336696685,6.125726792508095e-17,0.0043719722244769665
10,2,1,3,0.0001607200257152041,0.013137557959814528,3.173587822623081e-17,0.0032028739761350926
11,3,1,4,0.006075216972034715,0.02095040914916691,0.0015415985310038255,0.0027342890455153497
12,1,1,2,0.001639344262295082,0.006513409961685823,0.0,0.0032760893304476205
13,0,1,1,0.0,0.0,0.0006403335532105825,0.0007103496626675249
14,1,1,2,1.0714668381013607e-05,0.0032679738562091504,0.0,0.0013140980463217003
15,1,1,2,0.006493089038894246,0.005602240896358543,3.654450090268357e-07,0.0032168980601043735
16,1,1,2,0.0005143040822886531,0.0064464141821112,0.0,0.004266843782399941
17,1,1,2,0.0011250401800064287,0.006462674756001055,0.0,0.003972860073714793
18,1,1,2,0.012696882031501124,0.014284831347826758,3.034861852119497e-12,0.002203635348741399
19,1,2,3,0.017870281081467192,0.02150374418133981,0.005738418856299412,0.0032307667700843647
20,1,0,1,0.0,0.0032679738562091504,0.0,0.0013140980463217003
21,0,1,1,0.0,0.0,0.0,0.0007103496626675249
22,1,1,2,0.0005893067609557484,0.012159435319843395,9.982458215501895e-18,0.004511428592568723
23,1,1,2,0.0011571841851494697,0.012571783330746548,2.516052666970471e-18,0.00447213336524537
24,1,0,1,0.0,0.0032679738562091504,0.0,0.0013140980463217003
25,1,1,2,0.01800064288010286,0.006151480199923107,1.791796274421669e-07,0.0044359351782362316
26,1,1,2,0.0010500375013393335,0.0032679738562091504,0.0027966047621033325,0.0013140980463217003
27,1,3,4,0.011995071252544736,0.01872411666226099,0.18394570668578888,0.00407176475995705
28,3,1,4,0.009648558877102753,0.01721505316276558,1.557641966914608e-11,0.0059672654927057246
29,1,1,2,0.002239365691631844,0.006817669596574261,0.0,0.003552364239447109
30,1,1,2,0.024943747990999677,0.006274509803921568,0.015020186708942508,0.004652754961458323
31,3,1,4,0.01591306832386871,0.026769967246157725,0.1970265261382885,0.00588151768249668
