node,in_degree,out_degree,degree,betweenness,closeness,eigenvector,pagerank
0,1,0,1,0.0,0.07652319580665208,2.459280927362192e-05,0.0048981786565244
1,0,1,1,0.0,0.0,0.00016283879931644192,0.001150165813278664
2,1,1,2,0.004120879120879121,0.005917159763313609,0.0009848311867464955,0.0021278427193169697
3,1,1,2,0.008241758241758242,0.0944055944055944,0.0008749377970787679,0.003834294693804702
4,3,3,6,0.018267637429725345,0.10892106945984668,0.0057933121331383095,0.006519172279246813
5,3,1,4,0.06436999355955397,0.09334267500017342,0.0013514094926715687,0.00858013818631451
6,2,3,5,0.029756540948954257,0.1016874863028709,0.006579349050380975,0.005367194252956463
7,4,2,6,0.03551309742666462,0.11230084876607606,0.2653230326891571,0.009301356530054943
8,2,4,6,0.024898655221457417,0.08768865834267392,0.2686842699173861,0.004985430122209428
9,0,3,3,0.0,0.0,0.00017032832219611048,0.001150165813278664
10,2,0,2,0.0,0.08402489626556016,6.195179395819212e-05,0.007577713049088076
11,1,1,2,0.03838782554441896,0.07745262818594156,0.008960463205104251,0.004294959846384639
12,1,1,2,0.042917018878557346,0.09068485395802725,0.05262511766230673,0.0022758980546826067
13,4,5,9,0.06542354234397768,0.11089317795981606,0.36405316862671283,0.011133692749341652
14,4,5,9,0.06228942760536168,0.11167082997916959,0.010867748110145422,0.007382202419910223
15,1,3,4,0.030648756240472214,0.08328588051793716,0.09421510284679811,0.002760501271333528
16,1,1,2,0.004156100309946464,0.08441652924628965,0.00014873461143195157,0.004409314270417907
17,2,3,5,0.03876423103758269,0.07258094965829347,0.0008220726454274835,0.007361030573200504
18,2,3,5,0.08210878682930671,0.11674677679640458,0.005795389038864513,0.010179994319870883
19,3,4,7,0.042278509036750796,0.09733655473734464,0.005280871422693876,0.005916164294235006
20,1,3,4,0.012010425471963933,0.01232741617357002,0.0019339375266158464,0.004065813621238328
21,1,2,3,0.008523527754296984,0.09183673469387756,0.0007422649703571122,0.0031408803769182396
22,4,4,8,0.0799501595544495,0.11589709137576117,0.008761989768325904,0.010840764974567879
23,1,1,2,0.008241758241758242,0.007889546351084811,0.0005180437367406634,0.002958817468019628
24,1,1,2,0.004191321499013806,0.07904990510215475,5.2964818985090116e-05,0.006467299121470534
25,0,1,1,0.0,0.0,1.4561207500236548e-05,0.001150165813278664
26,1,3,4,0.003257959988729219,0.005917159763313609,0.00021218855524006474,0.0014760581152914324
27,1,1,2,0.006392645815722738,0.007889546351084811,0.0011229597966586045,0.0015683886429250613
28,1,1,2,0.03838782554441896,0.07027475884832121,0.0526156644050865,0.004800723542351286
29,3,3,6,0.03269924607889528,0.10408013303940904,0.002706932574777557,0.007026542705735041
30,3,3,6,0.053062926319477455,0.10573878057788569,0.004908122710140088,0.00798455610743758
31,0,3,3,0.0,0.0,5.4133724013470696e-05,0.001150165813278664
32,2,1,3,0.008488306565229642,0.016385980883022306,4.619386003665596e-05,0.003830084123854
33,1,1,2,0.004437869822485207,0.008875739644970414,1.198628780627323e-05,0.002661015362256613
34,1,1,2,0.029938010707241475,0.06741854511020146,4.138513914289681e-05,0.00940632622943205
35,1,1,2,0.013917652859960555,0.0770031932061392,0.004360606438688282,0.003843963370979388
36,1,1,2,0.027020438352855926,0.08711302163582924,0.004036089137373556,0.006686967495484623
37,3,1,4,0.012445630783542869,0.09535941266710497,0.008587487978284833,0.008283174621220406
38,2,1,3,0.030031630692027977,0.09204774771693401,0.0030679606586122856,0.0051463459008118054
39,3,2,5,0.03860359725744342,0.11043176390450475,0.007245638161472321,0.006789246248408802
40,6,1,7,0.04863301586410208,0.10982248520710058,0.2790006846952935,0.01717569885042802
41,5,3,8,0.05585841203973073,0.1145630241369035,0.33837849364132155,0.008407579383515882
42,3,4,7,0.053970504210888816,0.10300297771687959,0.3092512764965615,0.005297689196528031
43,1,1,2,0.03683314548699164,0.09975369458128078,0.05756932014231844,0.0035322994986238666
44,3,5,8,0.04974154356022488,0.09592927924716618,0.3021402299310137,0.0070324073930654474
45,2,2,4,0.02514418324857886,0.0940766550522648,0.036386444012066026,0.007158429881867467
