node,community
0,0
1,1
2,1
3,1
4,1
5,6
6,1
7,5
8,5
9,6
10,6
11,5
12,5
13,5
14,1
15,9
16,0
17,6
18,1
19,10
20,10
21,11
22,1
23,10
24,10
25,10
26,14
27,14
28,5
29,10
30,1
31,14
32,14
33,6
34,14
35,9
36,9
37,4
38,10
39,1
40,5
41,5
42,5
43,5
44,9
45,7
46,8
47,13
48,13
49,13
50,13
51,12
52,1
53,12
54,13
55,12
56,13
57,13
58,12
59,12
60,6
61,12
62,6
63,12
64,12
65,13
66,12
67,12
68,13
69,6
70,6
71,12
72,13
73,12
74,13
75,12
76,1
77,1
78,8
79,15
80,7
81,13
82,13
83,12
84,5
85,4
86,2
87,12
88,12
89,4
90,11
91,3
92,4
93,7
94,2
95,15
96,2
97,4
98,15
99,5
100,12
101,10
102,10
103,10
104,4
105,8
106,7
107,8
108,9
109,1
110,14
111,5
112,2
113,5
114,5
115,2
116,15
117,5
118,2
119,15
120,15
121,2
122,15
123,2
124,5
125,1
126,5
127,1
128,6
129,6
130,4
131,7
132,11
133,3
134,11
135,3
136,11
137,10
138,3
139,5
140,2
141,15
142,15
143,6
144,15
145,2
146,4
147,4
148,4
149,1
150,12
151,9
152,9
153,6
154,6
155,14
156,6
157,9
158,9
159,13
160,14
161,1
162,9
163,3
164,1
165,10
166,10
167,6
168,6
169,5
